t,xp,yp,theta,dtheta,Time(s),x(mm),y(mm),theta(rad)
0,36.79950789,262.5465047,1.519169063,0.000873529,0.00,200,160,1.570796327
0.1,163.9362003,215.5431911,1.526187551,0.000776471,0.33,200,200,1.570796327
0.2,186.3965089,212.2323505,1.537309872,0.000598529,0.67,200,265,1.570796327
0.3,190.5198543,208.3503724,1.542876836,0.000444853,1.00,200,330,1.570796327
0.4,192.2269085,208.9164602,1.543726567,0.000752206,1.33,200,390,1.570796327
0.5,190.8857215,208.3792009,1.54826365,0.000509559,1.67,200,450,1.570796327
0.6,194.6234626,205.8500794,1.550729288,0.000849265,2.00,200,480,1.570796327
0.7,193.7898532,207.5375744,1.55108173,0.000849265,2.33,200,480,1.483529864
0.8,194.4632761,210.1774121,1.552038422,0.000574265,2.67,200,480,1.483529864
0.9,195.400321,213.0757892,1.550100632,0.000630882,3.00,200,480,1.483529864
1,193.1085037,213.8773373,1.546073012,0.000558088,3.33,200,430,1.483529864
1.1,192.5800428,209.4968392,1.55920002,0.140470588,3.67,200,370,1.483529864
1.2,194.9238726,215.8721713,1.560495643,0.149990441,4.00,200,310,1.483529864
1.3,193.7708894,215.9664727,1.564249395,0.131508824,4.33,200,240,1.483529864
1.4,195.0864623,225.7403739,1.575014009,0.149699265,4.67,200,170,1.483529864
1.5,193.6422751,234.941514,1.582851507,0.1550375,,,,
1.6,197.3399723,245.6704694,1.592915752,0.139411029,,,,
1.7,197.1995038,255.8347893,1.597588188,0.145194118,,,,
1.8,196.4569771,263.6579384,1.60564366,0.1159875,,,,
1.9,198.6964271,272.5982028,1.615111583,0.141869853,,,,
2,199.126795,281.6311052,1.626195699,0.151632353,,,,
2.1,200.4481171,296.1242378,1.632637725,0.141651471,,,,
2.2,198.5528574,307.1242368,1.640956188,0.156663235,,,,
2.3,201.294045,320.1345606,1.650514933,0.153347059,,,,
2.4,200.1637678,333.7329914,1.657444903,0.134679412,,,,
2.5,199.4639832,344.7881058,1.664279596,0.158596324,,,,
2.6,200.7218545,358.3746787,1.673570075,0.142371324,,,,
2.7,200.3767985,370.7687018,1.679715975,0.153177206,,,,
2.8,202.0993021,382.4459825,1.688302543,0.139022794,,,,
2.9,202.3922353,395.1012041,1.696665128,0.145905882,,,,
